,country_code,Country Name,year,disbursement_amount,cancer,air_pollution_death,alchol_abuse,basic_sanitation,drinking_water,hand_wash,fuel_tech,crude_suicide,tuberculosis,NTDs,doctors,poisoning,unsafe_wash,tobacco,UHC_coverage,life_expectancy,UHC_data_access,population
122,SWZ,Eswatini,2015,1137213,26.6,137,9.84,57.87,59.37,24,48,13.1,648,331005,4.29,3.41,27.89,10.8,60,58.71,0.4,1104044
123,SWZ,Eswatini,2016,3873271,26.7,187,9.84,58.37,60.42,24.05,50,0,537,198319,3.29,3.36,27.89,10.8,60,58.71,0.4,1113984
124,TCD,Chad,2016,55231,23.9,280.1,1.7,8.58,29.62,5.79,5,0,144,6138675,0.47,4.77,101,12.1,67,70,0.36,14561666
125,TGO,Togo,2015,1817960,23.5,249.6,2.37,15.3,46.19,10.3,7,9.4,52,5586475,0.49,3.05,41.63,8.1,42,64.83,0.39,7323158
126,TGO,Togo,2016,1870333,23.6,249.9,2.37,15.71,47.29,10.39,7,0,46,6328077,0.13,2.95,41.63,7.9,42,64.83,0.39,7509952
127,THA,Thailand,2015,4417838,14.6,84.61,8.36,97.96,99.02,83.9,78,14.6,163,145146,4.65,0.49,3.51,24.1,75,80.7,0.43,68714511
128,THA,Thailand,2016,9865598,14.5,124.61,8.36,98.4,99.03,83.91,78,0,160,64109,4.45,0.49,3.51,23.6,75,80.7,0.43,68971331
129,TJK,Tajikistan,2015,20506,25.4,73.34,3.11,96.13,71.69,72.59,77,2.5,86,123178,2.103,1.45,2.7,12.8,67,70.82,0.34,8454028
130,TJK,Tajikistan,2016,142550,25.3,129.3,3.11,96.58,73.66,72.65,78,0,85,125863,2.103,1.42,2.7,15.8,67,70.82,0.34,8663579
131,TON,Tonga,2015,822884,23.5,73.34,0.68,93.45,99.77,45.95,52,3.5,16,36871,0.54,1.53,1.43,30.6,56,75.54,0.17,100781
132,TON,Tonga,2016,930164,23.3,74.34,0.68,93.45,99.77,45.95,51,0,9.1,37131,0.51,1.51,1.43,30.4,56,75.54,0.17,101133
133,TTO,Trinidad and Tobago,2016,119464,21.3,44.81,4.89,93.4,98.18,45.95,95,0,18,19498,11.21,0.26,0.14,12.8,50,65,0.29,1377564
134,UGA,Uganda,2015,2691469,21.9,155.7,15.14,18.42,38.23,18.92,5,9.9,202,23239105,0.95,4.16,31.56,11.4,44,68.13,0.49,38225453
135,UGA,Uganda,2016,12729552,21.9,165.2,15.14,18.45,39.72,20.07,5,0,201,23486474,0.65,4.01,31.56,10.9,34,68.13,0.49,39647506
136,UKR,Ukraine,2015,2436109,25.9,81.14,10.16,96.22,91.33,43.74,95,23.1,91,0,2.992,4.43,0.27,27.3,65,76.96,0.39,45154029
137,UKR,Ukraine,2016,4078613,24.7,136.5,10.16,96.22,91.32,43.74,95,0,87,1,1.292,4.27,0.27,26.6,65,76.96,0.39,45004645
138,UZB,Uzbekistan,2015,143145,24.8,81.14,2.59,100,95.64,45.95,86,7.4,79,399873,2.374,1.63,0.44,12.8,72,73.92,0.36,31298900
139,UZB,Uzbekistan,2016,390896,24.5,82.14,2.59,100,95.86,45.95,85,0,76,405951,1.574,1.54,0.44,12.6,72,73.92,0.36,31847900
140,VUT,Vanuatu,2015,2495449,23.7,135.6,2.14,38.13,86.98,25.15,9,4.5,63,266041,1.65,1.34,10.42,25.1,49,67.68,0.26,271130
141,VUT,Vanuatu,2016,2465942,23.3,135.2,2.14,36.09,87.79,25.18,9,0,56,271465,1.65,1.32,10.42,24.8,49,67.68,0.26,278330
142,WSM,Samoa,2015,792875,20.9,85.02,2.59,98.07,96.25,45.95,31,4.5,11,61325,3.95,0.73,1.49,30.5,58,71.49,0.3,193513
143,WSM,Samoa,2016,975754,20.6,85.42,2.59,98.12,100,45.95,32,0,7.7,61325,3.45,0.71,1.49,29.9,58,67.49,0.3,194535
144,ZAF,South Africa,2015,4476929,26.6,86.65,9.61,73.89,78.97,43.74,83,11.8,988,6696701,7.81,1.41,13.67,32.2,69,65.34,0.46,55386367
145,ZAF,South Africa,2016,15119738,26.2,87.65,9.61,74.82,79.82,43.86,84,0,805,6784419,8,1.35,13.67,32,69,32.34,0.46,56203654
146,ZMB,Zambia,2015,482060,18,127.2,6.89,25.98,40.59,13.72,15,6.1,391,11830416,2.63,3.92,34.91,15.4,54,63.02,0.39,15879361
147,ZMB,Zambia,2016,11917110,17.9,129.2,6.89,26.09,41.18,13.83,14,0,376,11573334,1.63,3.78,34.91,15.2,54,48.02,0.39,16363507
148,ZWE,Zimbabwe,2015,415702,19.4,133,4.92,37.57,51.03,36.82,29,10.6,242,10346543,1.82,2.41,24.55,14.5,54,60.96,0.41,13814629
149,ZWE,Zimbabwe,2016,5173625,19.3,135,4.92,36.89,50.42,36.8,29,18.6,233,9958235,1.79,2.28,24.55,14.3,54,42.34,0.41,14030390
